application_id,candidate_id,req_id,stage,stage_enter_date,stage_exit_date
A400000,C3000,R2009,Applied,2025-09-29,2025-10-03
A400000,C3000,R2009,Screen,2025-10-03,2025-10-05
A400001,C3001,R2044,Applied,2025-09-23,2025-10-01
A400001,C3001,R2044,Screen,2025-10-01,2025-10-04
A400001,C3001,R2044,Interview,2025-10-04,2025-10-15
A400002,C3001,R2032,Applied,2025-12-13,2025-12-24
A400002,C3001,R2032,Screen,2025-12-24,2025-12-31
A400002,C3001,R2032,Interview,2025-12-31,2026-01-04
A400002,C3001,R2032,Rejected,2026-01-04,2026-01-06
A400003,C3002,R2037,Applied,2025-12-06,2025-12-08
A400003,C3002,R2037,Screen,2025-12-08,2025-12-16
A400004,C3003,R2038,Applied,2025-08-21,2025-08-23
A400004,C3003,R2038,Screen,2025-08-23,2025-08-26
A400004,C3003,R2038,Interview,2025-08-26,2025-09-07
A400004,C3003,R2038,Offer,2025-09-07,2025-09-16
A400004,C3003,R2038,Hired,2025-09-16,2025-09-21
A400005,C3004,R2016,Applied,2025-11-08,2025-11-20
A400005,C3004,R2016,Screen,2025-11-20,2025-11-28
A400006,C3005,R2039,Applied,2025-10-20,2025-10-29
A400007,C3006,R2028,Applied,2025-11-15,2025-11-22
A400007,C3006,R2028,Screen,2025-11-22,2025-12-04
A400007,C3006,R2028,Interview,2025-12-04,2025-12-07
A400007,C3006,R2028,Offer,2025-12-07,2025-12-16
A400007,C3006,R2028,Hired,2025-12-16,2025-12-22
A400008,C3007,R2043,Applied,2025-10-16,2025-10-18
A400008,C3007,R2043,Screen,2025-10-18,2025-10-29
A400008,C3007,R2043,Rejected,2025-10-29,2025-11-06
A400009,C3007,R2024,Applied,2025-08-02,2025-08-06
A400009,C3007,R2024,Screen,2025-08-06,2025-08-17
A400009,C3007,R2024,Rejected,2025-08-17,2025-08-24
A400010,C3008,R2001,Applied,2025-11-24,2025-12-04
A400010,C3008,R2001,Screen,2025-12-04,2025-12-15
A400010,C3008,R2001,Rejected,2025-12-15,2025-12-22
A400011,C3008,R2012,Applied,2025-10-22,2025-10-30
A400011,C3008,R2012,Screen,2025-10-30,2025-11-02
A400012,C3009,R2030,Applied,2025-08-13,2025-08-15
A400012,C3009,R2030,Screen,2025-08-15,2025-08-25
A400012,C3009,R2030,Interview,2025-08-25,2025-09-03
A400013,C3010,R2041,Applied,2025-07-30,2025-08-11
A400013,C3010,R2041,Screen,2025-08-11,2025-08-19
A400013,C3010,R2041,Interview,2025-08-19,2025-08-30
A400013,C3010,R2041,Offer,2025-08-30,2025-09-08
A400013,C3010,R2041,Hired,2025-09-08,2025-09-12
A400014,C3010,R2033,Applied,2025-07-30,2025-08-03
A400014,C3010,R2033,Screen,2025-08-03,2025-08-05
A400014,C3010,R2033,Interview,2025-08-05,2025-08-14
A400014,C3010,R2033,Offer,2025-08-14,2025-08-23
A400014,C3010,R2033,Hired,2025-08-23,2025-09-02
A400015,C3011,R2009,Applied,2025-02-21,2025-02-25
A400015,C3011,R2009,Screen,2025-02-25,2025-03-07
A400016,C3011,R2008,Applied,2025-04-22,2025-04-24
A400016,C3011,R2008,Screen,2025-04-24,2025-04-26
A400016,C3011,R2008,Interview,2025-04-26,2025-04-30
A400017,C3012,R2000,Applied,2025-08-27,2025-08-29
A400017,C3012,R2000,Screen,2025-08-29,2025-09-08
A400018,C3013,R2042,Applied,2025-09-09,2025-09-12
A400018,C3013,R2042,Screen,2025-09-12,2025-09-13
A400019,C3014,R2006,Applied,2025-08-17,2025-08-22
A400019,C3014,R2006,Screen,2025-08-22,2025-08-28
A400019,C3014,R2006,Interview,2025-08-28,2025-09-01
A400019,C3014,R2006,Offer,2025-09-01,2025-09-09
A400019,C3014,R2006,Hired,2025-09-09,2025-09-10
A400020,C3015,R2017,Applied,2025-06-03,2025-06-11
A400020,C3015,R2017,Screen,2025-06-11,2025-06-13
A400020,C3015,R2017,Interview,2025-06-13,2025-06-17
A400020,C3015,R2017,Offer,2025-06-17,2025-06-19
A400020,C3015,R2017,Hired,2025-06-19,2025-07-01
A400021,C3016,R2022,Applied,2025-08-15,2025-08-20
A400021,C3016,R2022,Screen,2025-08-20,2025-08-28
A400022,C3016,R2038,Applied,2025-11-09,2025-11-17
A400022,C3016,R2038,Screen,2025-11-17,2025-11-23
A400022,C3016,R2038,Interview,2025-11-23,2025-11-29
A400022,C3016,R2038,Offer,2025-11-29,2025-12-02
A400022,C3016,R2038,Hired,2025-12-02,2025-12-06
A400023,C3017,R2015,Applied,2025-08-14,2025-08-23
A400023,C3017,R2015,Screen,2025-08-23,2025-09-02
A400023,C3017,R2015,Interview,2025-09-02,2025-09-08
A400023,C3017,R2015,Offer,2025-09-08,2025-09-12
A400023,C3017,R2015,Hired,2025-09-12,2025-09-19
A400024,C3018,R2032,Applied,2025-12-16,2025-12-20
A400024,C3018,R2032,Screen,2025-12-20,2025-12-25
A400024,C3018,R2032,Interview,2025-12-25,2026-01-01
A400024,C3018,R2032,Rejected,2026-01-01,2026-01-06
A400025,C3018,R2006,Applied,2025-09-30,2025-10-07
A400025,C3018,R2006,Screen,2025-10-07,2025-10-19
A400026,C3019,R2044,Applied,2025-06-16,2025-06-18
A400026,C3019,R2044,Screen,2025-06-18,2025-06-26
A400026,C3019,R2044,Interview,2025-06-26,2025-07-05
A400026,C3019,R2044,Rejected,2025-07-05,2025-07-11
A400027,C3020,R2030,Applied,2025-12-10,2025-12-12
A400027,C3020,R2030,Screen,2025-12-12,2025-12-23
A400027,C3020,R2030,Interview,2025-12-23,2025-12-26
A400027,C3020,R2030,Offer,2025-12-26,2026-01-04
A400027,C3020,R2030,Hired,2026-01-04,2026-01-08
A400028,C3021,R2011,Applied,2025-10-08,2025-10-17
A400028,C3021,R2011,Rejected,2025-10-17,2025-10-21
A400029,C3021,R2028,Applied,2025-09-12,2025-09-23
A400030,C3022,R2002,Applied,2025-09-19,2025-09-25
A400030,C3022,R2002,Screen,2025-09-25,2025-10-06
A400030,C3022,R2002,Interview,2025-10-06,2025-10-16
A400030,C3022,R2002,Offer,2025-10-16,2025-10-27
A400030,C3022,R2002,Hired,2025-10-27,2025-11-05
A400031,C3023,R2040,Applied,2025-08-31,2025-09-03
A400031,C3023,R2040,Screen,2025-09-03,2025-09-14
A400031,C3023,R2040,Interview,2025-09-14,2025-09-25
A400032,C3024,R2025,Applied,2025-08-12,2025-08-17
A400032,C3024,R2025,Screen,2025-08-17,2025-08-20
A400032,C3024,R2025,Interview,2025-08-20,2025-08-24
A400033,C3025,R2031,Applied,2025-11-10,2025-11-17
A400033,C3025,R2031,Screen,2025-11-17,2025-11-21
A400033,C3025,R2031,Interview,2025-11-21,2025-11-27
A400034,C3026,R2028,Applied,2025-12-08,2025-12-20
A400035,C3027,R2024,Applied,2025-09-19,2025-09-23
A400036,C3027,R2010,Applied,2025-06-03,2025-06-05
A400036,C3027,R2010,Screen,2025-06-05,2025-06-09
A400036,C3027,R2010,Interview,2025-06-09,2025-06-15
A400036,C3027,R2010,Offer,2025-06-15,2025-06-17
A400036,C3027,R2010,Hired,2025-06-17,2025-06-29
A400037,C3028,R2019,Applied,2025-10-23,2025-11-03
A400038,C3029,R2043,Applied,2025-07-31,2025-08-09
A400038,C3029,R2043,Rejected,2025-08-09,2025-08-11
A400039,C3030,R2016,Applied,2025-07-31,2025-08-02
A400039,C3030,R2016,Screen,2025-08-02,2025-08-03
A400039,C3030,R2016,Interview,2025-08-03,2025-08-05
A400039,C3030,R2016,Rejected,2025-08-05,2025-08-17
A400040,C3031,R2039,Applied,2025-11-29,2025-12-04
A400040,C3031,R2039,Screen,2025-12-04,2025-12-10
A400040,C3031,R2039,Interview,2025-12-10,2025-12-17
A400041,C3032,R2003,Applied,2025-05-08,2025-05-17
